home,away,date,league,round
Bayern,Stuttgart,Fri 28 Aug 2026 20:30,Bundesliga,Round 1
Elversberg,Leverkusen,Sat 29 Aug 2026 19:00,Bundesliga,Round 1
Köln,Hoffenheim,Sat 29 Aug 2026 19:00,Bundesliga,Round 1
Union Berlin,Eintracht,Sat 29 Aug 2026 19:00,Bundesliga,Round 1
Mainz,SC Paderborn,Sat 29 Aug 2026 19:00,Bundesliga,Round 1
Augsburg,Schalke 04,Sat 29 Aug 2026 19:00,Bundesliga,Round 1
Freiburg,Werder Bremen,Sat 29 Aug 2026 19:00,Bundesliga,Round 1
Gladbach,RB Leipzig,Sat 29 Aug 2026 19:00,Bundesliga,Round 1
Dortmund,Hamburger SV,Sat 29 Aug 2026 19:00,Bundesliga,Round 1
SC Paderborn,Freiburg,Sat 05 Sep 2026 19:00,Bundesliga,Round 2
Schalke 04,Bayern,Sat 05 Sep 2026 19:00,Bundesliga,Round 2
Werder Bremen,RB Leipzig,Sat 05 Sep 2026 19:00,Bundesliga,Round 2
Hamburger SV,Mainz,Sat 05 Sep 2026 19:00,Bundesliga,Round 2
Gladbach,Elversberg,Sat 05 Sep 2026 19:00,Bundesliga,Round 2
Eintracht,Augsburg,Sat 05 Sep 2026 19:00,Bundesliga,Round 2
Leverkusen,Union Berlin,Sat 05 Sep 2026 19:00,Bundesliga,Round 2
Hoffenheim,Dortmund,Sat 05 Sep 2026 19:00,Bundesliga,Round 2
Stuttgart,Köln,Sat 05 Sep 2026 19:00,Bundesliga,Round 2
Elversberg,Bayern,Sat 12 Sep 2026 19:00,Bundesliga,Round 3
Köln,Werder Bremen,Sat 12 Sep 2026 19:00,Bundesliga,Round 3
Union Berlin,Schalke 04,Sat 12 Sep 2026 19:00,Bundesliga,Round 3
Mainz,Eintracht,Sat 12 Sep 2026 19:00,Bundesliga,Round 3
Augsburg,Leverkusen,Sat 12 Sep 2026 19:00,Bundesliga,Round 3
Freiburg,Gladbach,Sat 12 Sep 2026 19:00,Bundesliga,Round 3
Hoffenheim,Stuttgart,Sat 12 Sep 2026 19:00,Bundesliga,Round 3
Hamburger SV,RB Leipzig,Sat 12 Sep 2026 19:00,Bundesliga,Round 3
Dortmund,SC Paderborn,Sat 12 Sep 2026 19:00,Bundesliga,Round 3
SC Paderborn,Hoffenheim,Sat 19 Sep 2026 19:00,Bundesliga,Round 4
Schalke 04,Elversberg,Sat 19 Sep 2026 19:00,Bundesliga,Round 4
Augsburg,Werder Bremen,Sat 19 Sep 2026 19:00,Bundesliga,Round 4
Köln,Hamburger SV,Sat 19 Sep 2026 19:00,Bundesliga,Round 4
Gladbach,Mainz,Sat 19 Sep 2026 19:00,Bundesliga,Round 4
Eintracht,Freiburg,Sat 19 Sep 2026 19:00,Bundesliga,Round 4
Leverkusen,RB Leipzig,Sat 19 Sep 2026 19:00,Bundesliga,Round 4
Stuttgart,Dortmund,Sat 19 Sep 2026 19:00,Bundesliga,Round 4
Bayern,Union Berlin,Sat 19 Sep 2026 19:00,Bundesliga,Round 4
SC Paderborn,Stuttgart,Sat 10 Oct 2026 19:00,Bundesliga,Round 5
Köln,Gladbach,Sat 10 Oct 2026 19:00,Bundesliga,Round 5
Elversberg,Union Berlin,Sat 10 Oct 2026 19:00,Bundesliga,Round 5
Leverkusen,Mainz,Sat 10 Oct 2026 19:00,Bundesliga,Round 5
Bayern,Augsburg,Sat 10 Oct 2026 19:00,Bundesliga,Round 5
Freiburg,Schalke 04,Sat 10 Oct 2026 19:00,Bundesliga,Round 5
Hamburger SV,Hoffenheim,Sat 10 Oct 2026 19:00,Bundesliga,Round 5
Eintracht,RB Leipzig,Sat 10 Oct 2026 19:00,Bundesliga,Round 5
Dortmund,Werder Bremen,Sat 10 Oct 2026 19:00,Bundesliga,Round 5
Elversberg,Augsburg,Sat 17 Oct 2026 19:00,Bundesliga,Round 6
Mainz,Schalke 04,Sat 17 Oct 2026 19:00,Bundesliga,Round 6
SC Paderborn,Werder Bremen,Sat 17 Oct 2026 19:00,Bundesliga,Round 6
Hamburger SV,Stuttgart,Sat 17 Oct 2026 19:00,Bundesliga,Round 6
Gladbach,Hoffenheim,Sat 17 Oct 2026 19:00,Bundesliga,Round 6
Union Berlin,Dortmund,Sat 17 Oct 2026 19:00,Bundesliga,Round 6
Köln,Eintracht,Sat 17 Oct 2026 19:00,Bundesliga,Round 6
Leverkusen,Freiburg,Sat 17 Oct 2026 19:00,Bundesliga,Round 6
Bayern,RB Leipzig,Sat 17 Oct 2026 19:00,Bundesliga,Round 6
SC Paderborn,Hamburger SV,Sat 24 Oct 2026 19:00,Bundesliga,Round 7
Köln,Schalke 04,Sat 24 Oct 2026 19:00,Bundesliga,Round 7
Mainz,Werder Bremen,Sat 24 Oct 2026 19:00,Bundesliga,Round 7
Augsburg,Union Berlin,Sat 24 Oct 2026 19:00,Bundesliga,Round 7
Freiburg,Bayern,Sat 24 Oct 2026 19:00,Bundesliga,Round 7
Leverkusen,Hoffenheim,Sat 24 Oct 2026 19:00,Bundesliga,Round 7
Gladbach,Stuttgart,Sat 24 Oct 2026 19:00,Bundesliga,Round 7
RB Leipzig,Elversberg,Sat 24 Oct 2026 19:00,Bundesliga,Round 7
Dortmund,Eintracht,Sat 24 Oct 2026 19:00,Bundesliga,Round 7
